Time Sensitive Label,Question,Reference Answer,
0,What are the Pittsburgh Cultural Trust's ticket protection options?,Booking Protect covers illnesses and emergencies,
1,"When does the Pittsburgh Cultural Trust hold the exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis""?","July 26, 2024, to February 16, 2025",
1,When is the Youth Open Studio for teens held at Artists Image Resource?,"Wednesdays, starting October 2, 2024, from 4–8pm",
1,"When does the exhibition ""Widening the Lens: Photography, Ecology, and the Contemporary Landscape"" end?","January 12, 2025",
1,"When is the Moriarty Science Seminar ""Searching for Thylacines"" happening at the Carnegie Museum of Natural History?","Monday, September 23, 2024, from 12:00 – 1:00 p.m.",
0,How many objects from ancient Egypt does the Carnegie Museum of Natural History have in its collection?,More than 80,
1,When is the Pittsburgh Satellite Reef exhibition happening?,"November 4, 2023 – January 26, 2025",
0,What permanent exhibition is featured at the Carnegie Museum of Natural History that showcases dinosaurs?,Dinosaurs in Their Time,
1,"When is the exhibition ""Widening the Lens: Photography, Ecology, and the Contemporary Landscape"" running?","May 11, 2024 – January 12, 2025",
0,What are the four Carnegie Museums known as collectively?,Carnegie Museums of Pittsburgh,
0,What event series did Carnegie Museums launch in 2017?,"Carnegie Nexus, which crosses arts and sciences to address pressing issues",
0,What gallery spaces are part of the Pittsburgh Cultural Trust?,"Wood Street Galleries, SPACE Gallery, 707 Penn Gallery, 820 Liberty Gallery, and Public Art",
0,What services are included when renting The Andy Warhol Museum for an event?,"Tables, chairs, audio-visual equipment, security, and catering are included",
1,When is the 11th annual Hometown-Homegrown food festival at Heinz History Center?,"November 2, 2024",
0,How long does a Heinz History Center membership last?,One year from the date of contribution,
0,"What can visitors learn about at the ""Pittsburgh: A Tradition of Innovation"" exhibit?","The exhibit showcases innovations in steel, medicine, robotics, and technology that have shaped Pittsburgh's history",
1,When is the Car and Carriage Museum Guided Tour taking place?,"October 23, 2024, from 3:00 PM to 4:00 PM",
0,What can visitors expect at The Frick's Car and Carriage Museum?,Visitors can learn about the transition from carriages to cars and Pittsburgh’s role in the early automobile industry,
1,When is the Holiday Handbell: Ring Pittsburgh event at The Frick?,"December 7, 2024, from 2:00 PM to 3:15 PM",
0,"What can I explore in the exhibition ""Pittsburgh: A Tradition of Innovation""?","Innovations in steel, robotics, and technology, and achievements from figures like Dr. Jonas Salk and George Westinghouse",
0,How much is the general admission to The Frick Pittsburgh for an adult?,General admission for an adult is $25.00,
0,What is the cancellation policy for a Clayton tour reservation?,Full refunds are granted with a 24-hour cancellation notice,
0,What are the free access areas at The Frick Pittsburgh?,"Admission to the gardens, permanent collection, and part of the Car and Carriage Museum is free",
0,What is available at the Café at the Frick?,"Casual dining, afternoon teas, curated coffees, and cocktails with a scenic view",
0,What is the duration of a membership at Heinz History Center?,Memberships last one year from the date of contribution,
1,When is Picklesburgh happening in 2024?,"July 11 - July 21, 2024",
1,Where are the music stages located at Picklesburgh 2024?,Stanwix & Boulevard and Smithfield & Boulevard,
0,"What can you find in the ""Pittsburgh: A Tradition of Innovation"" exhibit at Heinz History Center?","Artifacts highlighting innovations in steel, robotics, and medicine, including Dr. Jonas Salk’s polio vaccine",
0,What type of oddities are displayed at Trundle Manor?,"Cryptozoology specimens, vintage taxidermy, and preserved jars of unusual items",
0,Who designed and renovated the Chautauqua Lake Ice Company building for the Heinz History Center?,The Pittsburgh office of Bohlin Cywinski Jackson,
0,What does the Stephen Foster Memorial Museum house?,"It houses the Stephen Foster Collection, including manuscripts, compositions, recordings, and memorabilia",
0,Who received the NEMO Award from the ToonSeum for excellence in cartoon arts?,"Recipients include Ron Frenz, Dick Locher, and Jerry Robinson",
0,What is the Soldiers and Sailors Memorial Hall dedicated to?,It is dedicated to honoring military veterans and service personnel from all branches,
1,When is the Original Pittsburgh Taco Festival in 2024?,"The festival is on Saturday, September 14th, 2024, from 12:30 PM to 7:00 PM",
0,Where is the Original Pittsburgh Taco Festival held?,"The festival is held at 2875 Railroad St, Pittsburgh, PA 15222",
1,When do tickets for the Original Pittsburgh Taco Festival go on sale?,Tickets go on sale on June 1 at 12:00 PM,
0,Who can I contact for information about becoming a vendor at the Pittsburgh Taco Festival?,You can contact the team at vendors@pghtacofest.com,
1,When is the Pittsburgh Restaurant Week Winter 2025?,"January 13 to January 19, 2025",
0,Where is the Original Pittsburgh Taco Festival held?,"2875 Railroad St, Pittsburgh, PA 15222",
1,What is the theme for Pittsburgh Restaurant Week Winter 2025?,New Dishes for the New Year,
0,How much does a fixed-price 3-course meal cost during Pittsburgh Restaurant Week 2025?,$20.24-$45.24,
0,How much is the entry fee for the Little Italy Days Bocce Tournament?,$150 per team,
0,Who founded the Original Pittsburgh Taco Festival?,Craig McCloud,
0,What museum in Pittsburgh has a collection of over 200 musical compositions by Stephen Foster?,The Stephen Foster Memorial Museum,
1,When is Pittsburgh Restaurant Week in Winter 2024?,"January 15-21, 2024",
1,When is Pittsburgh Restaurant Week in Summer 2024?,"August 12-18, 2024",
1,When was the Pittsburgh Soul Food Festival established?,2019,
1,What is the price for general admission to the Original Pittsburgh Taco Festival?,$13,
0,What special deals are offered during Pittsburgh Restaurant Week?,"Three-course, fixed-price meals",
1,"Who is performing on August 30, 2024, at the Pittsburgh Soul Food Festival main stage at 9 p.m.?",Tweet,
1,When is the Original Pittsburgh Taco Festival in 2024?,"September 14, 2024",
0,What does the Taco Lover’s Gold Package cost at the Original Pittsburgh Taco Festival?,$49,
0,Who opened Pittsburgh’s first Black-owned restaurant in 1795?,Charles Richards,
0,How many restaurants typically participate in Pittsburgh Restaurant Week?,More than 50,
0,What is the theme of Pittsburgh Restaurant Week’s Winter edition?,New Dishes for the New Year,
0,What is featured at the Pittsburgh Soul Food Festival?,Soul food from over 100 small business vendors,
1,When is Ronnie Laws performing at the Pittsburgh Soul Food Festival?,"August 31, 2024, at 9 p.m.",
