Time Sensitive Label,Question,Reference Answer,
,Who are the First Violin 24-25 season musicians of the Pittsburgh Symphony Orchestra?,"Shannon Fitzhenry, Kate Black; Kate Black, Shannon Fitzhenry",
,Who is the second violin william & sarah galbraith chair of the Pittsburgh Symphony Orchestra?,Laura Motchalov,
,Who is the Viola Acting Assistant Principal of the Pittsburgh Symphony Orchestra?,Marylène Gingras-Roy,
,What is the role of Stephanie Tretick in the Pittsburgh Symphony Orchestra?,Viola,
,What is the role of Ian Woodworth in the Pittsburgh Symphony Orchestra?,24-25 Season Musician; English Horn 24-25 Season Musician,
,"Who is the Clarinet Sidney Stark, Jr. Memorial Chair of the Pittsburgh Symphony Orchestra?",Ron Samuels,
,Who is the Bassoon Acting Principal of the Pittsburgh Symphony Orchestra?,David Sogg,
,What is the role of Samuel Nemec in the Pittsburgh Symphony Orchestra?,Oboe,
,What is the role of Yevgeny Faniuk in the Pittsburgh Symphony Orchestra?,24-25 Season Musician; Flute 24-25 Season Musician,
,"Who is the Bass Clarinet Principal | Mr. and Mrs. Willard J. Tillotson, Jr. Chair of the Pittsburgh Symphony Orchestra?",Jack Howell,
,Who is the concertmaster of the Pittsburgh Symphony Orchestra?,David McCarroll; David,
,Who is the acting principal violist of the Pittsburgh Symphony Orchestra?,Tatjana Mead Chamis; Tatjana,
,Who is the principal bassist of the Pittsburgh Symphony Orchestra?,Nicholas Myers; Nicholas,
,Who is the assistant librarian of the Pittsburgh Symphony Orchestra?,Sheryl Hadeka; Sheryl,
,,,
,Who is the concertmaster | rachel mellon walton chair of the Pittsburgh Symphony Orchestra?,David McCarroll,
,What is the role of David McCarroll in the Pittsburgh Symphony Orchestra?,"Concertmaster | Rachel Mellon Walton Chair; First Violin Concertmaster | Rachel Mellon Walton Chair; Concertmaster; Rachel Mellon Walton Chair; Concertmaster, Rachel Mellon Walton Chair",
,Who is the associate concertmaster | beverlynn & steven elliott chair of the Pittsburgh Symphony Orchestra?,Justine Campagna,
,What is the role of Justine Campagna in the Pittsburgh Symphony Orchestra?,"Associate Concertmaster | Beverlynn & Steven Elliott Chair; First Violin Associate Concertmaster | Beverlynn & Steven Elliott Chair; Associate Concertmaster; Beverlynn & Steven Elliott Chair; Associate Concertmaster, Beverlynn & Steven Elliott Chair",
,Who is the assistant concertmaster of the Pittsburgh Symphony Orchestra?,Dylan Naroff,
,What is the role of Dylan Naroff in the Pittsburgh Symphony Orchestra?,First Violin Assistant Concertmaster; Assistant Concertmaster,
,What is the role of Kelsey Blumenthal in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
,Who is the selma wiener berkman memorial chair of the Pittsburgh Symphony Orchestra?,Ellen Chen-Livingston,
,What is the role of Ellen Chen-Livingston in the Pittsburgh Symphony Orchestra?,First Violin Selma Wiener Berkman Memorial Chair; Selma Wiener Berkman Memorial Chair,
,Who is the dr. & mrs. william e. rinehart chair of the Pittsburgh Symphony Orchestra?,Irene Cheng,
,What is the role of Irene Cheng in the Pittsburgh Symphony Orchestra?,First Violin Dr. & Mrs. William E. Rinehart Chair; Dr. & Mrs. William E. Rinehart Chair,
,Who is the lois r. brozenick memorial chair of the Pittsburgh Symphony Orchestra?,Sarah Clendenning,
,What is the role of Sarah Clendenning in the Pittsburgh Symphony Orchestra?,First Violin Lois R. Brozenick Memorial Chair; Lois R. Brozenick Memorial Chair,
,What is the role of Alison Peters Fujito in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
,Who is the snapp family first violin chair of the Pittsburgh Symphony Orchestra?,Marta Krechkovsky,
,What is the role of Marta Krechkovsky in the Pittsburgh Symphony Orchestra?,Snapp Family First Violin Chair,
,What is the role of Jennifer Orchard in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
,Who is the dr. alan & marsha bramowitz chair of the Pittsburgh Symphony Orchestra?,Susanne Park,
,What is the role of Susanne Park in the Pittsburgh Symphony Orchestra?,First Violin Dr. Alan & Marsha Bramowitz Chair; Dr. Alan & Marsha Bramowitz Chair,
,What is the role of Kristina Yoder in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
,What is the role of Kate Black in the Pittsburgh Symphony Orchestra?,First Violin 24-25 Season Musician; 24-25 Season Musician,
,Who are the First Violin 24-25 season musicians of the Pittsburgh Symphony Orchestra?,"Shannon Fitzhenry, Kate Black; Kate Black, Shannon Fitzhenry; Shannon Fitzhenry; Kate Black",
,What is the role of Shannon Fitzhenry in the Pittsburgh Symphony Orchestra?,First Violin 24-25 Season Musician; 24-25 Season Musician,
,,,
,Who is the second violin principal | g. christian lantzsch & duquesne light company chair of the Pittsburgh Symphony Orchestra?,Jeremy Black,
,What is the role of Jeremy Black in the Pittsburgh Symphony Orchestra?,"Principal | G. Christian Lantzsch & Duquesne Light Company Chair; second violin principal, second violin Principal, second violin G. Christian Lantzsch & Duquesne Light Company Chair",
,Who is the second violin associate principal | the morrison family chair of the Pittsburgh Symphony Orchestra?,Louis Lev,
,What is the role of Louis Lev in the Pittsburgh Symphony Orchestra?,Associate Principal | The Morrison Family Chair,
,Who is the second violin assistant principal of the Pittsburgh Symphony Orchestra?,Dennis O'Boyle,
,What is the role of Dennis O'Boyle in the Pittsburgh Symphony Orchestra?,Assistant Principal; second violin Assistant Principal,
,Who is the second violin william & sarah galbraith chair of the Pittsburgh Symphony Orchestra?,Laura Motchalov,
,What is the role of Laura Motchalov in the Pittsburgh Symphony Orchestra?,William & Sarah Galbraith Chair; second violin William & Sarah Galbraith Chair,
,What is the role of Andrew Fuller in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,Who is the second violin arlyn gilboa chair of the Pittsburgh Symphony Orchestra?,Lorien Benet Hart,
,What is the role of Lorien Benet Hart in the Pittsburgh Symphony Orchestra?,Arlyn Gilboa Chair,
,What is the role of Yeokyung Kim in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,What is the role of Boxianzi Vivian Ling in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,Who is the second violin alice victoria gelormino chair of the Pittsburgh Symphony Orchestra?,Claudia Mahave,
,What is the role of Claudia Mahave in the Pittsburgh Symphony Orchestra?,Alice Victoria Gelormino Chair; second violin Alice Victoria Gelormino Chair,
,What is the role of Cecee Pantikian in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,What is the role of Regi Papa in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,What is the role of Carolyn Semes in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,What is the role of Yingchen Zhang in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,,,
,Who is the Viola Acting Principal | Jon & Carol Walton Associate Principal Viola Chair of the Pittsburgh Symphony Orchestra?,Tatjana Mead Chamis,
,What is the role of Tatjana Mead Chamis in the Pittsburgh Symphony Orchestra?,"Acting Principal | Jon & Carol Walton Associate Principal Viola Chair; Viola Acting Principal | Jon & Carol Walton Associate Principal Viola Chair; Acting Principal; Jon & Carol Walton Associate Principal Viola Chair ",
,Who is the Viola Acting Associate Principal of the Pittsburgh Symphony Orchestra?,Joen Vasquez,
,What is the role of Joen Vasquez in the Pittsburgh Symphony Orchestra?,Acting Associate Principal; Viola Acting Associate Principal,
,Who is the Viola Acting Assistant Principal of the Pittsburgh Symphony Orchestra?,Marylène Gingras-Roy,
,What is the role of Marylène Gingras-Roy in the Pittsburgh Symphony Orchestra?,Viola Acting Assistant Principal; Acting Assistant Principal,
,Who is the Viola of the Pittsburgh Symphony Orchestra?,Laura Fuller,
,What is the role of Laura Fuller in the Pittsburgh Symphony Orchestra?,Viola,
,Who is the Viola of the Pittsburgh Symphony Orchestra?,Sean Juhl,
,What is the role of Sean Juhl in the Pittsburgh Symphony Orchestra?,Viola,
,Who is the Viola of the Pittsburgh Symphony Orchestra?,Erina Laraby-Goldwasser,
,What is the role of Erina Laraby-Goldwasser in the Pittsburgh Symphony Orchestra?,Viola,
,Who is the Viola of the Pittsburgh Symphony Orchestra?,Aaron Mossburg,
,What is the role of Aaron Mossburg in the Pittsburgh Symphony Orchestra?,Viola,
,Who is the Viola of the Pittsburgh Symphony Orchestra?,Stephanie Tretick,
,What is the role of Stephanie Tretick in the Pittsburgh Symphony Orchestra?,Viola,
,Who is the Viola Mr. and Mrs. Martin G. McGuinn Chair of the Pittsburgh Symphony Orchestra?,Andrew Wickesberg,
,What is the role of Andrew Wickesberg in the Pittsburgh Symphony Orchestra?,Viola Mr. and Mrs. Martin G. McGuinn Chair; Mr. and Mrs. Martin G. McGuinn Chair,
,Who is the Viola 24-25 Season Musician of the Pittsburgh Symphony Orchestra?,Chloé Thominet,
,What is the role of Chloé Thominet in the Pittsburgh Symphony Orchestra?,24-25 Season Musician; Viola 24-25 Season Musician,
,Who is the Viola 24-25 Season Musician of the Pittsburgh Symphony Orchestra?,Rimbo Wong,
,What is the role of Rimbo Wong in the Pittsburgh Symphony Orchestra?,24-25 Season Musician; Viola 24-25 Season Musician,
,Who is the Viola 24-25 Season Musician of the Pittsburgh Symphony Orchestra?,Si Yu,
,What is the role of Si Yu in the Pittsburgh Symphony Orchestra?,24-25 Season Musician; Viola 24-25 Season Musician,
,Who is the Viola 24-25 Season Musician of the Pittsburgh Symphony Orchestra?,"Chloé Thominet, Rimbo Wong, Si Yu; Rimbo Wong, Si Yu, Chloé Thominet, Rimbo Wong",
,Who are the Viola 24-25 Season Musicians of the Pittsburgh Symphony Orchestra?,"Chloé Thominet, Rimbo Wong, Si Yu; Rimbo Wong, Si Yu, Chloé Thominet, Rimbo Wong",
,Who is the Viola of the Pittsburgh Symphony Orchestra?,"Laura Fuller, Sean Juhl, Erina Laraby-Goldwasser, Aaron Mossburg, Stephanie Tretick, Andrew Wickesberg",
,Who are the Viola of the Pittsburgh Symphony Orchestra?,,
,,,
,Who is the Principal | Pittsburgh Symphony Association Chair of the Pittsburgh Symphony Orchestra?,Anne Martindale Williams,
,What is the role of Anne Martindale Williams in the Pittsburgh Symphony Orchestra?,Principal | Pittsburgh Symphony Association Chair,
,"Who is the Associate Principal | Donald I. & Janet Moritz and Equitable Resources, Inc. Chair of the Pittsburgh Symphony Orchestra?",Dale Jeong,
,What is the role of Dale Jeong in the Pittsburgh Symphony Orchestra?,"Associate Principal | Donald I. & Janet Moritz and Equitable Resources, Inc. Chair",
,Who is the Assistant Principal | George & Eileen Dorman Chair of the Pittsburgh Symphony Orchestra?,Adam Liu,
,What is the role of Adam Liu in the Pittsburgh Symphony Orchestra?,Assistant Principal | George & Eileen Dorman Chair,
,Who is the Susan Candace Hunt Chair of the Pittsburgh Symphony Orchestra?,Mikhail Istomin,
,What is the role of Mikhail Istomin in the Pittsburgh Symphony Orchestra?,Susan Candace Hunt Chair,
,Who is the Cello of the Pittsburgh Symphony Orchestra?,Bronwyn Banerdt,
,What is the role of Bronwyn Banerdt in the Pittsburgh Symphony Orchestra?,Cello,
,Who is the Jane & Rae Burton Chair of the Pittsburgh Symphony Orchestra?,Michael DeBruyn,
,What is the role of Michael DeBruyn in the Pittsburgh Symphony Orchestra?,Jane & Rae Burton Chair,
,Who is the William Block Memorial Chair of the Pittsburgh Symphony Orchestra?,Alexandra Lee,
,What is the role of Alexandra Lee in the Pittsburgh Symphony Orchestra?,William Block Memorial Chair,
,Who is the Cello of the Pittsburgh Symphony Orchestra?,Yun-Ya Lo,
,What is the role of Yun-Ya Lo in the Pittsburgh Symphony Orchestra?,Cello,
,Who is the HaleyFesq Cello Chair of the Pittsburgh Symphony Orchestra?,Charlie Powers,
,What is the role of Charlie Powers in the Pittsburgh Symphony Orchestra?,HaleyFesq Cello Chair,
,Who is the Cello of the Pittsburgh Symphony Orchestra?,Karissa Shivone,
,What is the role of Karissa Shivone in the Pittsburgh Symphony Orchestra?,Cello,
,Who are the Cello of the Pittsburgh Symphony Orchestra?,"Karissa Shivone, Yun-Ya Lo, Bronwyn Banerdt",
,Who is the Cello of the Pittsburgh Symphony Orchestra?,"Karissa Shivone, Yun-Ya Lo, Bronwyn Banerdt",
,,,
,Who is the Bass Principal of the Pittsburgh Symphony Orchestra?,Nicholas Myers,
,What is the role of Nicholas Myers in the Pittsburgh Symphony Orchestra?,Principal; Bass Principal,
,Who is the Bass Associate Principal of the Pittsburgh Symphony Orchestra?,Brandon McLean,
,What is the role of Brandon McLean in the Pittsburgh Symphony Orchestra?,Associate Principal; Bass Associate Principal,
,Who is the Bass of the Pittsburgh Symphony Orchestra?,Joseph Campagna,
,What is the role of Joseph Campagna in the Pittsburgh Symphony Orchestra?,Bass,
,Who is the Bass of the Pittsburgh Symphony Orchestra?,Jeffrey Grubbs,
,What is the role of Jeffrey Grubbs in the Pittsburgh Symphony Orchestra?,Bass,
,Who is the Bass of the Pittsburgh Symphony Orchestra?,Peter Guild,
,What is the role of Peter Guild in the Pittsburgh Symphony Orchestra?,Bass,
,Who is the Bass Stephen & Kimberly Keen Chair of the Pittsburgh Symphony Orchestra?,Micah Howard,
,What is the role of Micah Howard in the Pittsburgh Symphony Orchestra?,Stephen & Kimberly Keen Chair; Bass Stephen & Kimberly Keen Chair,
,Who is the Bass of the Pittsburgh Symphony Orchestra?,John Moore,
,What is the role of John Moore in the Pittsburgh Symphony Orchestra?,Bass,
,Who is the Bass of the Pittsburgh Symphony Orchestra?,Aaron White,
,What is the role of Aaron White in the Pittsburgh Symphony Orchestra?,Bass,
,Who is the Bass Paul J. Ross Fellow of the Pittsburgh Symphony Orchestra?,Drew Collins,
,What is the role of Drew Collins in the Pittsburgh Symphony Orchestra?,Paul J. Ross Fellow; Bass Paul J. Ross Fellow,
,Who is the Bass of the Pittsburgh Symphony Orchestra?,Aaron White; John Moore; Peter Guild; Jeffrey Grubbs; Joseph Campagna,
,Who are the Bass of the Pittsburgh Symphony Orchestra?,Aaron White; John Moore; Peter Guild; Jeffrey Grubbs; Joseph Campagna,
,,,
,Who was chosen to lead the Pittsburgh Symphony Orchestra in 1898?,Victor Herbert,
,Who financed the Pittsburgh Symphony Orchestra’s trip to Carnegie Hall in New York City during its second season?,Andrew Carnegie,
,What crisis did the Pittsburgh Symphony Orchestra face in 1907 that led to half of the orchestra's members refusing to renew their contracts?,Hiring European musicians; Emil Paur's leadership,
,How long did it take before the Pittsburgh Symphony Orchestra was resurrected after canceling its season in 1910?,16 years,
,In what year did the Pittsburgh Symphony Orchestra officially reform after being canceled for 16 years?,1926,
,Who was the first music director of the Pittsburgh Symphony Orchestra after its reformation in 1926?,Elias Breeskin,
,What major event helped the Pittsburgh Symphony Orchestra gain national recognition in 1936?,Its concerts were broadcast nationally for the first time,
,Which conductor reorganized and expanded the Pittsburgh Symphony Orchestra in 1937?,Otto Klemperer,
,What significant challenge did the Pittsburgh Symphony Orchestra face in 1907 related to musician hiring practices?,Hiring European musicians damaged relations with local musicians,
,What year did women first join the Pittsburgh Symphony Orchestra during World War II?,1942,
,What was the profession of Victor Herbert before leading the Pittsburgh Symphony Orchestra?,Composer of comic operas; theater man,
,What did Andrew Carnegie say about taking the Pittsburgh Symphony Orchestra to New York in 1899?,"He said it was the best orchestra, with the exception of possibly the Boston Symphony, in the United States.",
,What global event in 1907 had a negative impact on the Pittsburgh Symphony Orchestra's funding?,The global panic of 1907,
,Who sent an ultimatum to conductor Emil Paur regarding the hiring of European musicians for the Pittsburgh Symphony Orchestra?,"Joseph Weber, President of the National Federation of Musicians; Joseph Weber",
,How much money did the Pittsburgh Symphony Orchestra aim to raise through an endowment fund in 1910?,"$50,000; 50,000; 50000",
,When did the Pittsburgh Symphony Orchestra perform its first free public concert after reforming in 1926?,"1926/5/2; May 2, 1926; 5/2/1026",
,What incident in 1927 led to the arrest of nine board members of the Pittsburgh Symphony Orchestra?,Violating Pennsylvania Blue Laws by organizing a Sunday concert series,
,Who was the concertmaster of the Pittsburgh Symphony Orchestra in 1926?,Elias Breeskin,
,What was the name of the Pittsburgh Symphony Orchestra's first music director in 1930?,Antonio Modarelli,
,"In what year did the Pittsburgh Symphony Orchestra begin broadcasting its concerts nationally, sponsored by Pittsburgh Plate Glass?",1936,
,,,
,When was Heinz Hall dedicated as the home of the Pittsburgh Symphony Orchestra?,1971,
,"How many seats does Heinz Hall, the home of the Pittsburgh Symphony Orchestra, have?","2675; 2,675",
,What was the original name of Heinz Hall before its renovation in 1971?,Loew’s Penn Theater,
,Who provided the funding for the renovation of Heinz Hall in 1971 as a gift to the Pittsburgh Symphony Orchestra?,Howard Heinz Endowment,
,In what year did the Pittsburgh Symphony Orchestra outgrow Carnegie Music Hall and begin looking for a new home?,1964,
,What architectural firm was responsible for the reconstruction of Heinz Hall for the Pittsburgh Symphony Orchestra in the 1970s?,"Stotz, Hess, MacLachlan & Fosner; Stotz, Hess, MacLachlan and Fosner",
,What was the name of the hotel that occupied the site of Heinz Hall before the Loew's Penn Theater was built?,Hotel Anderson,
,"What famous Pittsburgh figure was instrumental in saving the Penn Theater and transforming it into Heinz Hall, home of the Pittsburgh Symphony Orchestra?",Henry J. Heinz II; Henry J Heinz; Henry J. Heinz,
,Which acoustical consultant contributed to the renovation of Heinz Hall for the Pittsburgh Symphony Orchestra in the 1970s?,Dr. Heinrich Keilholz; Heinrich Keilholz,
,"In what year did Heinz Hall undergo a $6.5 million renovation, funded in part by a grant from the Howard Heinz Endowment?",1995,
,"Which important cultural district does Heinz Hall, home of the Pittsburgh Symphony Orchestra, help anchor in Pittsburgh?",The Cultural District,
,What event marked the grand opening of Heinz Hall for the Pittsburgh Symphony Orchestra in 1971?,A Pittsburgh Symphony concert under the baton of William Steinberg,
,In which year did the Pittsburgh Symphony Orchestra perform at Heinz Hall’s newly renovated opening for their Centennial season?,1995,
,What notable figures attended the 1971 grand opening of Heinz Hall for the Pittsburgh Symphony Orchestra?,Marian Anderson; Samuel Barber; Charlton Heston; James Earl Jones; Agnes de Mille; Gregory Peck; Cyril Ritchard; Rudolf Serkin; Nancy Hanks,
,,,
,How can I purchase tickets for events at Heinz Hall?,Tickets can be purchased online or by calling 412.392.4900 during Box Office hours; Online or by calling 412.392.4900 during Box Office hours,
,What is the Latecomer's Gallery at Heinz Hall used for?,It allows latecomers to enjoy the performance until they can be seated.,
,Is there a pre-concert rush program at Heinz Hall for Pittsburgh Symphony performances?,"Yes; Yes, students and seniors can purchase discounted rush tickets two hours before performances",
,What security measures are in place for audience members entering Heinz Hall?,"Heinz Hall uses a “free-flow” scanning system, allowing patrons to walk through unimpeded.",
,What should I do if I don’t want to go through the security scanner at Heinz Hall?,An alternative entry door with wanding and bag checks is available.,
,Where can I park when attending a concert at Heinz Hall?,"Over 6,500 parking spaces are available, with guaranteed parking for season ticket holders; Over 6,500 parking spaces are available",
,Can I bring my children to concerts at Heinz Hall?,"Yes, children aged six and over are welcome; Yes",
,What amenities are available for guests with accessibility needs at Heinz Hall?,Sensory-friendly performances and accessible restrooms are provided.,
,Is there an official dress code for Heinz Hall?,No. There is no official dress code for events in Heinz Hall; No,
